txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
15958.0,16740.0,38277.0,15956.0,16634.0,37742.0,15725.0,16680.0,37814.0,15393.0,16459.0,38744.0,16100.0,16404.0,37494.0,15915.0,16501.0,37682.0,15875.0,16529.0,37284.0,15508.0,16408.0,37803.0,16275.0,16510.0,37524.0,16034.0,16314.0,37866.0,15763.0,16282.0,37670.0,15463.0,16325.0,38208.0,16113.0,16276.0,38693.0,15986.0,16326.0,38789.0,15769.0,16047.0,38149.0,15573.0,16002.0,38228.0
15959.0,16739.0,38282.0,15955.0,16633.0,37748.0,15725.0,16681.0,37812.0,15395.0,16458.0,38741.0,16101.0,16407.0,37492.0,15915.0,16497.0,37684.0,15877.0,16531.0,37280.0,15507.0,16411.0,37801.0,16275.0,16508.0,37519.0,16036.0,16316.0,37865.0,15763.0,16281.0,37672.0,15465.0,16325.0,38208.0,16114.0,16277.0,38691.0,15987.0,16327.0,38788.0,15769.0,16047.0,38146.0,15573.0,16003.0,38226.0
15959.0,16739.0,38282.0,15955.0,16634.0,37740.0,15726.0,16681.0,37816.0,15394.0,16457.0,38744.0,16101.0,16406.0,37488.0,15916.0,16501.0,37686.0,15877.0,16531.0,37280.0,15507.0,16411.0,37801.0,16275.0,16508.0,37519.0,16035.0,16315.0,37867.0,15762.0,16282.0,37673.0,15465.0,16325.0,38215.0,16116.0,16277.0,38686.0,15985.0,16328.0,38784.0,15769.0,16044.0,38150.0,15573.0,16003.0,38226.0
15959.0,16739.0,38282.0,15955.0,16634.0,37740.0,15726.0,16681.0,37816.0,15394.0,16457.0,38744.0,16101.0,16406.0,37488.0,15916.0,16501.0,37686.0,15877.0,16531.0,37280.0,15507.0,16411.0,37801.0,16275.0,16508.0,37519.0,16035.0,16315.0,37867.0,15762.0,16282.0,37673.0,15465.0,16325.0,38215.0,16116.0,16277.0,38686.0,15985.0,16328.0,38784.0,15769.0,16044.0,38150.0,15573.0,16003.0,38226.0
15958.0,16740.0,38273.0,15956.0,16633.0,37738.0,15725.0,16682.0,37811.0,15392.0,16460.0,38744.0,16100.0,16408.0,37483.0,15914.0,16501.0,37682.0,15875.0,16531.0,37279.0,15506.0,16411.0,37804.0,16274.0,16512.0,37517.0,16035.0,16317.0,37859.0,15760.0,16282.0,37674.0,15464.0,16325.0,38206.0,16114.0,16278.0,38691.0,15987.0,16327.0,38784.0,15767.0,16047.0,38146.0,15571.0,16003.0,38225.0
15959.0,16739.0,38276.0,15953.0,16633.0,37741.0,15723.0,16682.0,37810.0,15391.0,16458.0,38741.0,16097.0,16408.0,37480.0,15915.0,16500.0,37681.0,15872.0,16530.0,37277.0,15504.0,16409.0,37800.0,16273.0,16512.0,37516.0,16034.0,16314.0,37861.0,15761.0,16282.0,37673.0,15463.0,16325.0,38207.0,16114.0,16278.0,38685.0,15985.0,16328.0,38778.0,15769.0,16045.0,38149.0,15571.0,16003.0,38229.0
15955.0,16742.0,38278.0,15952.0,16634.0,37736.0,15721.0,16681.0,37811.0,15391.0,16458.0,38749.0,16101.0,16407.0,37479.0,15915.0,16500.0,37681.0,15872.0,16530.0,37277.0,15505.0,16409.0,37802.0,16274.0,16512.0,37513.0,16033.0,16316.0,37865.0,15761.0,16281.0,37674.0,15461.0,16324.0,38207.0,16113.0,16278.0,38685.0,15985.0,16328.0,38778.0,15769.0,16045.0,38149.0,15571.0,16003.0,38229.0
15955.0,16741.0,38274.0,15949.0,16635.0,37742.0,15721.0,16680.0,37806.0,15388.0,16457.0,38747.0,16099.0,16407.0,37481.0,15914.0,16503.0,37677.0,15874.0,16532.0,37280.0,15505.0,16409.0,37802.0,16272.0,16512.0,37514.0,16032.0,16315.0,37865.0,15761.0,16280.0,37674.0,15461.0,16324.0,38205.0,16113.0,16278.0,38684.0,15984.0,16328.0,38778.0,15767.0,16047.0,38142.0,15571.0,16003.0,38229.0
15953.0,16743.0,38275.0,15950.0,16636.0,37733.0,15719.0,16682.0,37810.0,15386.0,16459.0,38741.0,16097.0,16409.0,37482.0,15911.0,16502.0,37676.0,15872.0,16529.0,37280.0,15501.0,16408.0,37795.0,16274.0,16511.0,37512.0,16033.0,16316.0,37864.0,15760.0,16283.0,37675.0,15459.0,16323.0,38207.0,16114.0,16280.0,38681.0,15984.0,16330.0,38777.0,15768.0,16046.0,38145.0,15572.0,16001.0,38228.0
15955.0,16743.0,38286.0,15951.0,16635.0,37738.0,15722.0,16681.0,37805.0,15390.0,16456.0,38744.0,16098.0,16410.0,37483.0,15912.0,16504.0,37673.0,15872.0,16529.0,37280.0,15501.0,16408.0,37795.0,16275.0,16513.0,37519.0,16036.0,16317.0,37866.0,15761.0,16281.0,37682.0,15464.0,16322.0,38213.0,16115.0,16281.0,38690.0,15987.0,16329.0,38782.0,15768.0,16046.0,38145.0,15572.0,16001.0,38228.0
