txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
16305.0,16595.0,37994.0,16236.0,16704.0,37848.0,16018.0,16631.0,37685.0,15557.0,16707.0,38658.0,16154.0,16541.0,37807.0,16084.0,16404.0,37375.0,15927.0,16454.0,37384.0,15688.0,16511.0,37658.0,16250.0,16270.0,37783.0,16081.0,16316.0,37944.0,15774.0,16326.0,37305.0,15669.0,16307.0,38047.0,16125.0,16236.0,38983.0,15962.0,16406.0,38433.0,15790.0,16260.0,38063.0,15673.0,16471.0,38899.0
16305.0,16595.0,37994.0,16235.0,16703.0,37841.0,16018.0,16631.0,37689.0,15560.0,16706.0,38660.0,16155.0,16541.0,37805.0,16082.0,16406.0,37379.0,15926.0,16456.0,37383.0,15688.0,16511.0,37658.0,16250.0,16270.0,37783.0,16081.0,16316.0,37944.0,15774.0,16325.0,37309.0,15668.0,16308.0,38048.0,16126.0,16236.0,38977.0,15961.0,16408.0,38428.0,15790.0,16257.0,38065.0,15673.0,16471.0,38899.0
16304.0,16595.0,37994.0,16239.0,16704.0,37846.0,16020.0,16631.0,37689.0,15560.0,16706.0,38657.0,16155.0,16541.0,37806.0,16084.0,16404.0,37381.0,15926.0,16455.0,37379.0,15690.0,16509.0,37655.0,16250.0,16269.0,37785.0,16083.0,16317.0,37947.0,15776.0,16326.0,37309.0,15670.0,16309.0,38044.0,16127.0,16237.0,38980.0,15962.0,16405.0,38426.0,15791.0,16259.0,38066.0,15676.0,16471.0,38892.0
16305.0,16597.0,37996.0,16239.0,16704.0,37845.0,16018.0,16632.0,37692.0,15561.0,16709.0,38662.0,16155.0,16540.0,37812.0,16085.0,16406.0,37387.0,15928.0,16456.0,37382.0,15692.0,16511.0,37656.0,16249.0,16268.0,37792.0,16084.0,16316.0,37945.0,15774.0,16326.0,37309.0,15669.0,16307.0,38048.0,16127.0,16235.0,38986.0,15963.0,16406.0,38427.0,15791.0,16258.0,38065.0,15674.0,16473.0,38893.0
16306.0,16595.0,37996.0,16237.0,16702.0,37851.0,16019.0,16630.0,37692.0,15559.0,16707.0,38658.0,16155.0,16541.0,37813.0,16085.0,16406.0,37387.0,15928.0,16456.0,37382.0,15692.0,16511.0,37656.0,16251.0,16267.0,37794.0,16083.0,16318.0,37946.0,15776.0,16327.0,37311.0,15671.0,16307.0,38045.0,16127.0,16234.0,38989.0,15963.0,16406.0,38427.0,15791.0,16258.0,38065.0,15674.0,16473.0,38893.0
16306.0,16595.0,37996.0,16237.0,16702.0,37851.0,16018.0,16631.0,37694.0,15558.0,16708.0,38655.0,16156.0,16540.0,37808.0,16086.0,16405.0,37382.0,15928.0,16457.0,37390.0,15691.0,16511.0,37655.0,16251.0,16267.0,37794.0,16083.0,16318.0,37946.0,15776.0,16326.0,37308.0,15670.0,16308.0,38042.0,16126.0,16235.0,38984.0,15963.0,16406.0,38430.0,15793.0,16259.0,38068.0,15676.0,16472.0,38894.0
16306.0,16593.0,37999.0,16238.0,16703.0,37851.0,16019.0,16630.0,37692.0,15560.0,16706.0,38658.0,16154.0,16540.0,37810.0,16084.0,16404.0,37383.0,15926.0,16456.0,37384.0,15691.0,16512.0,37656.0,16250.0,16268.0,37792.0,16083.0,16316.0,37947.0,15776.0,16327.0,37312.0,15671.0,16307.0,38048.0,16124.0,16236.0,38989.0,15963.0,16403.0,38432.0,15791.0,16259.0,38058.0,15675.0,16472.0,38895.0
16306.0,16593.0,37999.0,16240.0,16702.0,37850.0,16020.0,16631.0,37698.0,15563.0,16709.0,38663.0,16156.0,16537.0,37818.0,16085.0,16403.0,37384.0,15928.0,16459.0,37387.0,15691.0,16512.0,37656.0,16250.0,16268.0,37792.0,16083.0,16314.0,37942.0,15777.0,16327.0,37308.0,15670.0,16308.0,38042.0,16127.0,16232.0,38991.0,15961.0,16405.0,38430.0,15793.0,16258.0,38064.0,15675.0,16472.0,38895.0
16305.0,16592.0,37991.0,16237.0,16703.0,37850.0,16021.0,16632.0,37693.0,15562.0,16709.0,38660.0,16156.0,16538.0,37813.0,16086.0,16404.0,37382.0,15927.0,16455.0,37382.0,15689.0,16513.0,37653.0,16246.0,16266.0,37785.0,16078.0,16315.0,37943.0,15775.0,16328.0,37312.0,15671.0,16309.0,38044.0,16124.0,16232.0,38990.0,15959.0,16403.0,38425.0,15785.0,16260.0,38061.0,15665.0,16472.0,38893.0
16307.0,16592.0,37987.0,16237.0,16703.0,37849.0,16020.0,16632.0,37696.0,15560.0,16711.0,38660.0,16153.0,16539.0,37805.0,16084.0,16405.0,37379.0,15927.0,16455.0,37382.0,15689.0,16513.0,37653.0,16246.0,16265.0,37779.0,16077.0,16315.0,37943.0,15772.0,16325.0,37314.0,15665.0,16310.0,38050.0,16120.0,16233.0,38982.0,15957.0,16403.0,38419.0,15785.0,16260.0,38061.0,15665.0,16472.0,38893.0
16307.0,16594.0,37983.0,16237.0,16703.0,37847.0,16020.0,16633.0,37690.0,15559.0,16709.0,38666.0,16153.0,16536.0,37802.0,16083.0,16403.0,37376.0,15926.0,16457.0,37385.0,15689.0,16512.0,37656.0,16246.0,16264.0,37777.0,16080.0,16315.0,37939.0,15771.0,16327.0,37308.0,15665.0,16309.0,38049.0,16121.0,16231.0,38975.0,15957.0,16402.0,38428.0,15785.0,16260.0,38059.0,15667.0,16473.0,38893.0
16306.0,16591.0,37986.0,16238.0,16701.0,37847.0,16022.0,16631.0,37692.0,15562.0,16712.0,38666.0,16157.0,16536.0,37804.0,16086.0,16403.0,37381.0,15927.0,16457.0,37382.0,15691.0,16514.0,37655.0,16247.0,16265.0,37779.0,16079.0,16314.0,37941.0,15774.0,16328.0,37305.0,15667.0,16312.0,38042.0,16121.0,16230.0,38982.0,15957.0,16402.0,38424.0,15788.0,16259.0,38056.0,15669.0,16475.0,38893.0
16312.0,16590.0,37999.0,16243.0,16700.0,37855.0,16023.0,16632.0,37699.0,15562.0,16711.0,38671.0,16157.0,16536.0,37812.0,16086.0,16404.0,37384.0,15931.0,16458.0,37386.0,15694.0,16516.0,37656.0,16251.0,16262.0,37789.0,16083.0,16314.0,37947.0,15776.0,16326.0,37308.0,15670.0,16314.0,38044.0,16124.0,16229.0,38992.0,15960.0,16402.0,38420.0,15789.0,16259.0,38054.0,15672.0,16477.0,38887.0
16312.0,16590.0,37999.0,16243.0,16700.0,37849.0,16027.0,16632.0,37696.0,15567.0,16711.0,38671.0,16158.0,16533.0,37815.0,16089.0,16402.0,37383.0,15931.0,16458.0,37386.0,15694.0,16516.0,37656.0,16251.0,16262.0,37789.0,16084.0,16311.0,37947.0,15777.0,16327.0,37306.0,15672.0,16313.0,38041.0,16123.0,16227.0,38998.0,15958.0,16401.0,38432.0,15790.0,16260.0,38057.0,15672.0,16477.0,38887.0
16311.0,16590.0,38000.0,16244.0,16701.0,37861.0,16027.0,16633.0,37698.0,15567.0,16712.0,38668.0,16159.0,16534.0,37814.0,16088.0,16403.0,37388.0,15931.0,16457.0,37385.0,15696.0,16517.0,37657.0,16251.0,16261.0,37790.0,16082.0,16313.0,37941.0,15777.0,16327.0,37304.0,15669.0,16314.0,38041.0,16121.0,16228.0,39006.0,15958.0,16401.0,38427.0,15787.0,16261.0,38051.0,15669.0,16475.0,38881.0
16311.0,16588.0,37997.0,16240.0,16699.0,37853.0,16024.0,16633.0,37703.0,15565.0,16714.0,38672.0,16161.0,16532.0,37815.0,16088.0,16403.0,37388.0,15931.0,16457.0,37385.0,15693.0,16520.0,37654.0,16247.0,16260.0,37778.0,16080.0,16314.0,37939.0,15773.0,16329.0,37307.0,15669.0,16314.0,38041.0,16119.0,16227.0,38989.0,15957.0,16401.0,38419.0,15787.0,16261.0,38051.0,15669.0,16475.0,38881.0
16312.0,16586.0,37987.0,16241.0,16699.0,37851.0,16024.0,16633.0,37697.0,15563.0,16714.0,38681.0,16156.0,16531.0,37805.0,16085.0,16400.0,37380.0,15928.0,16457.0,37390.0,15693.0,16517.0,37662.0,16245.0,16256.0,37779.0,16077.0,16312.0,37941.0,15770.0,16329.0,37304.0,15664.0,16315.0,38054.0,16116.0,16224.0,38977.0,15951.0,16394.0,38415.0,15780.0,16257.0,38050.0,15662.0,16478.0,38882.0
16312.0,16587.0,37997.0,16243.0,16699.0,37850.0,16025.0,16633.0,37705.0,15566.0,16712.0,38671.0,16159.0,16529.0,37804.0,16085.0,16400.0,37380.0,15928.0,16457.0,37390.0,15695.0,16519.0,37657.0,16246.0,16256.0,37782.0,16078.0,16310.0,37943.0,15770.0,16327.0,37304.0,15664.0,16315.0,38049.0,16112.0,16222.0,38987.0,15951.0,16394.0,38415.0,15780.0,16257.0,38050.0,15665.0,16477.0,38886.0
16312.0,16587.0,37997.0,16242.0,16699.0,37858.0,16024.0,16632.0,37703.0,15565.0,16716.0,38678.0,16158.0,16531.0,37806.0,16089.0,16400.0,37383.0,15930.0,16457.0,37385.0,15695.0,16519.0,37657.0,16246.0,16256.0,37782.0,16078.0,16313.0,37934.0,15772.0,16329.0,37303.0,15663.0,16318.0,38045.0,16115.0,16223.0,38987.0,15951.0,16396.0,38419.0,15782.0,16259.0,38051.0,15665.0,16477.0,38886.0
16313.0,16588.0,37990.0,16243.0,16699.0,37848.0,16024.0,16632.0,37699.0,15567.0,16714.0,38665.0,16159.0,16531.0,37814.0,16087.0,16401.0,37385.0,15930.0,16459.0,37385.0,15693.0,16516.0,37655.0,16248.0,16258.0,37787.0,16080.0,16312.0,37941.0,15776.0,16327.0,37309.0,15668.0,16314.0,38044.0,16119.0,16223.0,38992.0,15954.0,16397.0,38426.0,15784.0,16258.0,38060.0,15666.0,16477.0,38887.0
16309.0,16591.0,37997.0,16240.0,16703.0,37852.0,16022.0,16633.0,37698.0,15562.0,16712.0,38671.0,16156.0,16535.0,37809.0,16086.0,16404.0,37382.0,15929.0,16459.0,37385.0,15692.0,16518.0,37656.0,16248.0,16262.0,37786.0,16081.0,16315.0,37941.0,15774.0,16328.0,37306.0,15666.0,16313.0,38051.0,16119.0,16228.0,38981.0,15954.0,16401.0,38412.0,15785.0,16262.0,38051.0,15666.0,16477.0,38884.0
16309.0,16591.0,37997.0,16240.0,16703.0,37852.0,16022.0,16633.0,37698.0,15562.0,16712.0,38671.0,16156.0,16535.0,37809.0,16086.0,16404.0,37382.0,15929.0,16459.0,37385.0,15692.0,16515.0,37647.0,16247.0,16263.0,37784.0,16081.0,16315.0,37941.0,15774.0,16328.0,37306.0,15666.0,16313.0,38051.0,16119.0,16228.0,38981.0,15954.0,16401.0,38412.0,15785.0,16262.0,38051.0,15670.0,16476.0,38894.0
16308.0,16592.0,37985.0,16241.0,16703.0,37846.0,16021.0,16629.0,37692.0,15562.0,16708.0,38658.0,16154.0,16535.0,37808.0,16083.0,16405.0,37377.0,15926.0,16458.0,37376.0,15688.0,16514.0,37648.0,16248.0,16264.0,37783.0,16082.0,16312.0,37939.0,15774.0,16326.0,37311.0,15669.0,16308.0,38044.0,16122.0,16230.0,38980.0,15956.0,16405.0,38424.0,15787.0,16260.0,38060.0,15669.0,16473.0,38893.0
16305.0,16593.0,37986.0,16236.0,16703.0,37848.0,16017.0,16632.0,37692.0,15559.0,16708.0,38657.0,16154.0,16535.0,37808.0,16083.0,16405.0,37377.0,15925.0,16457.0,37378.0,15688.0,16514.0,37657.0,16247.0,16267.0,37777.0,16078.0,16316.0,37940.0,15772.0,16326.0,37309.0,15667.0,16308.0,38052.0,16122.0,16230.0,38980.0,15956.0,16405.0,38424.0,15786.0,16262.0,38052.0,15670.0,16473.0,38892.0
