txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
15961.0,16752.0,37940.0,15949.0,16635.0,37248.0,15802.0,16716.0,37279.0,15462.0,16517.0,38069.0,16056.0,16398.0,37254.0,15817.0,16545.0,37337.0,15892.0,16556.0,36850.0,15534.0,16430.0,37274.0,16175.0,16514.0,37335.0,15961.0,16327.0,37566.0,15741.0,16299.0,37337.0,15487.0,16351.0,37833.0,15945.0,16311.0,38737.0,15922.0,16382.0,38721.0,15620.0,16128.0,37907.0,15561.0,16020.0,37972.0
15961.0,16752.0,37940.0,15949.0,16635.0,37248.0,15803.0,16717.0,37279.0,15461.0,16518.0,38070.0,16053.0,16399.0,37252.0,15816.0,16544.0,37336.0,15892.0,16558.0,36850.0,15533.0,16429.0,37275.0,16175.0,16514.0,37335.0,15961.0,16327.0,37566.0,15742.0,16298.0,37338.0,15486.0,16352.0,37835.0,15943.0,16311.0,38733.0,15924.0,16382.0,38725.0,15620.0,16128.0,37904.0,15560.0,16020.0,37969.0
15961.0,16753.0,37940.0,15951.0,16636.0,37247.0,15803.0,16716.0,37279.0,15461.0,16519.0,38068.0,16053.0,16400.0,37252.0,15816.0,16546.0,37335.0,15893.0,16556.0,36849.0,15533.0,16430.0,37281.0,16174.0,16514.0,37331.0,15960.0,16327.0,37563.0,15741.0,16299.0,37334.0,15484.0,16350.0,37830.0,15944.0,16311.0,38733.0,15923.0,16383.0,38725.0,15621.0,16126.0,37903.0,15560.0,16020.0,37971.0
15960.0,16754.0,37943.0,15949.0,16637.0,37249.0,15802.0,16716.0,37278.0,15460.0,16517.0,38068.0,16053.0,16401.0,37242.0,15814.0,16545.0,37335.0,15890.0,16556.0,36849.0,15530.0,16428.0,37278.0,16173.0,16514.0,37334.0,15957.0,16327.0,37563.0,15741.0,16299.0,37334.0,15483.0,16350.0,37835.0,15944.0,16312.0,38730.0,15923.0,16383.0,38730.0,15619.0,16128.0,37910.0,15559.0,16021.0,37975.0
15960.0,16752.0,37934.0,15948.0,16635.0,37251.0,15801.0,16716.0,37284.0,15460.0,16519.0,38075.0,16053.0,16400.0,37244.0,15814.0,16545.0,37335.0,15890.0,16556.0,36849.0,15530.0,16428.0,37278.0,16173.0,16514.0,37331.0,15958.0,16330.0,37561.0,15742.0,16298.0,37336.0,15483.0,16351.0,37831.0,15943.0,16312.0,38727.0,15923.0,16385.0,38726.0,15619.0,16128.0,37910.0,15559.0,16021.0,37975.0
15960.0,16752.0,37934.0,15948.0,16635.0,37251.0,15801.0,16717.0,37277.0,15459.0,16517.0,38072.0,16051.0,16402.0,37244.0,15814.0,16546.0,37330.0,15892.0,16557.0,36850.0,15530.0,16429.0,37271.0,16173.0,16514.0,37331.0,15958.0,16330.0,37561.0,15742.0,16298.0,37336.0,15484.0,16351.0,37835.0,15944.0,16312.0,38727.0,15923.0,16384.0,38727.0,15619.0,16126.0,37905.0,15560.0,16020.0,37972.0
15961.0,16755.0,37935.0,15949.0,16636.0,37252.0,15801.0,16715.0,37280.0,15460.0,16519.0,38070.0,16052.0,16399.0,37246.0,15812.0,16546.0,37335.0,15890.0,16557.0,36850.0,15531.0,16428.0,37275.0,16174.0,16516.0,37330.0,15959.0,16328.0,37562.0,15740.0,16299.0,37336.0,15484.0,16350.0,37829.0,15945.0,16314.0,38731.0,15923.0,16384.0,38724.0,15622.0,16124.0,37906.0,15560.0,16021.0,37978.0
15961.0,16755.0,37935.0,15949.0,16636.0,37252.0,15799.0,16717.0,37279.0,15456.0,16517.0,38068.0,16052.0,16401.0,37236.0,15813.0,16545.0,37334.0,15891.0,16558.0,36852.0,15531.0,16428.0,37275.0,16174.0,16516.0,37330.0,15959.0,16328.0,37562.0,15740.0,16297.0,37337.0,15482.0,16347.0,37833.0,15944.0,16314.0,38727.0,15925.0,16385.0,38724.0,15622.0,16128.0,37904.0,15560.0,16021.0,37978.0
15960.0,16755.0,37939.0,15947.0,16637.0,37250.0,15800.0,16714.0,37276.0,15457.0,16517.0,38068.0,16052.0,16402.0,37245.0,15812.0,16546.0,37330.0,15891.0,16556.0,36853.0,15530.0,16426.0,37275.0,16173.0,16517.0,37335.0,15962.0,16330.0,37564.0,15741.0,16298.0,37338.0,15484.0,16348.0,37831.0,15945.0,16315.0,38731.0,15923.0,16386.0,38723.0,15624.0,16127.0,37906.0,15561.0,16019.0,37967.0
15960.0,16755.0,37939.0,15948.0,16637.0,37253.0,15799.0,16716.0,37280.0,15459.0,16515.0,38068.0,16051.0,16403.0,37252.0,15815.0,16545.0,37330.0,15891.0,16556.0,36853.0,15530.0,16426.0,37275.0,16173.0,16517.0,37335.0,15963.0,16329.0,37568.0,15744.0,16298.0,37339.0,15487.0,16349.0,37834.0,15946.0,16317.0,38744.0,15928.0,16385.0,38732.0,15624.0,16127.0,37906.0,15561.0,16019.0,37967.0
15960.0,16755.0,37946.0,15949.0,16638.0,37250.0,15801.0,16717.0,37277.0,15461.0,16516.0,38063.0,16054.0,16405.0,37260.0,15817.0,16546.0,37343.0,15895.0,16557.0,36852.0,15534.0,16427.0,37273.0,16177.0,16516.0,37343.0,15963.0,16329.0,37567.0,15745.0,16297.0,37338.0,15490.0,16348.0,37822.0,15950.0,16315.0,38750.0,15930.0,16387.0,38733.0,15628.0,16126.0,37910.0,15566.0,16018.0,37972.0
15958.0,16756.0,37943.0,15949.0,16637.0,37245.0,15799.0,16715.0,37279.0,15458.0,16515.0,38067.0,16052.0,16404.0,37257.0,15815.0,16548.0,37334.0,15891.0,16557.0,36851.0,15534.0,16426.0,37273.0,16177.0,16517.0,37343.0,15963.0,16330.0,37566.0,15742.0,16300.0,37345.0,15487.0,16348.0,37830.0,15950.0,16317.0,38742.0,15932.0,16386.0,38727.0,15626.0,16127.0,37912.0,15564.0,16018.0,37973.0
15953.0,16758.0,37939.0,15944.0,16642.0,37244.0,15797.0,16718.0,37276.0,15456.0,16515.0,38072.0,16051.0,16405.0,37252.0,15814.0,16547.0,37329.0,15889.0,16557.0,36851.0,15529.0,16425.0,37272.0,16175.0,16521.0,37328.0,15961.0,16333.0,37562.0,15742.0,16300.0,37340.0,15485.0,16346.0,37828.0,15950.0,16318.0,38733.0,15930.0,16388.0,38725.0,15627.0,16127.0,37905.0,15563.0,16018.0,37977.0
15953.0,16758.0,37939.0,15943.0,16636.0,37241.0,15795.0,16715.0,37266.0,15454.0,16512.0,38056.0,16050.0,16405.0,37249.0,15811.0,16548.0,37331.0,15888.0,16556.0,36852.0,15529.0,16425.0,37272.0,16175.0,16521.0,37328.0,15959.0,16330.0,37558.0,15740.0,16296.0,37341.0,15483.0,16345.0,37828.0,15949.0,16320.0,38731.0,15930.0,16389.0,38729.0,15625.0,16127.0,37907.0,15563.0,16018.0,37977.0
15951.0,16760.0,37936.0,15942.0,16641.0,37246.0,15796.0,16717.0,37271.0,15454.0,16514.0,38057.0,16049.0,16406.0,37247.0,15811.0,16547.0,37326.0,15889.0,16558.0,36846.0,15527.0,16427.0,37275.0,16175.0,16522.0,37330.0,15960.0,16332.0,37561.0,15741.0,16299.0,37338.0,15484.0,16345.0,37835.0,15950.0,16321.0,38739.0,15929.0,16389.0,38724.0,15626.0,16127.0,37907.0,15563.0,16017.0,37975.0
