txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
16197.0,16584.0,38521.0,16170.0,16703.0,38218.0,16001.0,16628.0,37990.0,15566.0,16712.0,39001.0,16053.0,16538.0,38325.0,16050.0,16419.0,37737.0,15922.0,16444.0,37640.0,15674.0,16504.0,37935.0,16237.0,16334.0,38185.0,16038.0,16328.0,38118.0,15810.0,16292.0,37471.0,15663.0,16304.0,38215.0,16148.0,16242.0,39215.0,15945.0,16383.0,38521.0,15839.0,16244.0,38098.0,15680.0,16438.0,38940.0
16199.0,16587.0,38518.0,16170.0,16703.0,38218.0,16001.0,16628.0,37990.0,15566.0,16712.0,38995.0,16053.0,16537.0,38318.0,16050.0,16418.0,37747.0,15920.0,16442.0,37643.0,15673.0,16505.0,37929.0,16235.0,16333.0,38190.0,16038.0,16328.0,38118.0,15810.0,16292.0,37471.0,15662.0,16304.0,38214.0,16147.0,16242.0,39221.0,15944.0,16386.0,38523.0,15841.0,16242.0,38097.0,15679.0,16438.0,38941.0
16199.0,16586.0,38519.0,16168.0,16703.0,38220.0,16002.0,16628.0,37985.0,15566.0,16712.0,38995.0,16053.0,16537.0,38318.0,16048.0,16418.0,37735.0,15920.0,16444.0,37640.0,15675.0,16505.0,37937.0,16236.0,16333.0,38187.0,16039.0,16327.0,38116.0,15811.0,16293.0,37465.0,15662.0,16304.0,38214.0,16147.0,16242.0,39221.0,15944.0,16386.0,38523.0,15841.0,16243.0,38098.0,15679.0,16438.0,38940.0
16200.0,16584.0,38521.0,16170.0,16702.0,38224.0,16003.0,16628.0,37988.0,15567.0,16712.0,38990.0,16056.0,16537.0,38327.0,16050.0,16421.0,37744.0,15919.0,16444.0,37640.0,15677.0,16505.0,37928.0,16237.0,16332.0,38188.0,16039.0,16327.0,38121.0,15811.0,16294.0,37466.0,15663.0,16306.0,38215.0,16147.0,16242.0,39222.0,15946.0,16383.0,38524.0,15841.0,16242.0,38101.0,15680.0,16439.0,38936.0
16201.0,16585.0,38526.0,16169.0,16702.0,38227.0,16004.0,16628.0,37992.0,15567.0,16712.0,38990.0,16056.0,16537.0,38327.0,16049.0,16419.0,37743.0,15921.0,16446.0,37645.0,15676.0,16506.0,37931.0,16236.0,16333.0,38187.0,16037.0,16328.0,38122.0,15813.0,16294.0,37465.0,15663.0,16306.0,38215.0,16147.0,16242.0,39222.0,15945.0,16382.0,38528.0,15841.0,16242.0,38104.0,15679.0,16439.0,38932.0
16200.0,16583.0,38526.0,16171.0,16703.0,38226.0,16002.0,16628.0,37991.0,15567.0,16710.0,38996.0,16055.0,16536.0,38332.0,16049.0,16419.0,37743.0,15921.0,16446.0,37645.0,15676.0,16506.0,37930.0,16236.0,16331.0,38196.0,16038.0,16328.0,38115.0,15811.0,16294.0,37468.0,15664.0,16304.0,38217.0,16147.0,16242.0,39223.0,15945.0,16382.0,38528.0,15841.0,16242.0,38104.0,15680.0,16438.0,38936.0
16202.0,16582.0,38525.0,16173.0,16702.0,38231.0,16004.0,16628.0,37993.0,15568.0,16713.0,38996.0,16055.0,16536.0,38330.0,16050.0,16418.0,37746.0,15924.0,16445.0,37644.0,15678.0,16505.0,37932.0,16238.0,16331.0,38201.0,16039.0,16328.0,38117.0,15811.0,16293.0,37461.0,15665.0,16305.0,38221.0,16147.0,16241.0,39216.0,15945.0,16382.0,38523.0,15840.0,16242.0,38099.0,15680.0,16438.0,38930.0
16202.0,16580.0,38529.0,16173.0,16701.0,38223.0,16007.0,16628.0,37990.0,15568.0,16714.0,38996.0,16056.0,16533.0,38334.0,16051.0,16419.0,37746.0,15924.0,16445.0,37644.0,15678.0,16505.0,37932.0,16238.0,16331.0,38201.0,16039.0,16330.0,38115.0,15813.0,16295.0,37460.0,15664.0,16306.0,38220.0,16148.0,16239.0,39226.0,15945.0,16382.0,38525.0,15840.0,16242.0,38099.0,15680.0,16438.0,38930.0
16200.0,16584.0,38518.0,16172.0,16701.0,38224.0,16006.0,16628.0,37992.0,15570.0,16714.0,39000.0,16056.0,16532.0,38331.0,16049.0,16417.0,37742.0,15921.0,16447.0,37646.0,15674.0,16505.0,37933.0,16235.0,16330.0,38189.0,16037.0,16327.0,38114.0,15813.0,16295.0,37462.0,15664.0,16308.0,38218.0,16147.0,16239.0,39224.0,15941.0,16381.0,38519.0,15838.0,16243.0,38097.0,15675.0,16439.0,38929.0
16202.0,16582.0,38515.0,16170.0,16701.0,38218.0,16000.0,16629.0,37993.0,15566.0,16714.0,39003.0,16054.0,16534.0,38322.0,16049.0,16417.0,37742.0,15921.0,16447.0,37646.0,15673.0,16508.0,37936.0,16235.0,16331.0,38184.0,16034.0,16326.0,38115.0,15808.0,16293.0,37458.0,15662.0,16306.0,38221.0,16142.0,16237.0,39207.0,15941.0,16381.0,38519.0,15838.0,16243.0,38097.0,15675.0,16439.0,38929.0
