position_joint1,position_joint2,position_joint3,position_joint4,position_joint5,position_joint6,position_joint7,velocity_joint1,velocity_joint2,velocity_joint3,velocity_joint4,velocity_joint5,velocity_joint6,velocity_joint7,ee_T_00,ee_T_10,ee_T_20,ee_T_30,ee_T_01,ee_T_11,ee_T_21,ee_T_31,ee_T_02,ee_T_12,ee_T_22,ee_T_32,ee_T_03,ee_T_13,ee_T_23,ee_T_33,v_x,v_y,time
0.465072677219,0.54787544773,-0.123907948076,-1.35586066757,0.0794612296952,1.89409632499,0.159168064927,0.000425506212695,-6.18821335414e-05,0.000426459316716,-0.00141959804468,-0.000309294317549,0.000101258847194,-0.00095438008041,0.573748911009,0.819017443309,0.00183345921093,0.0,0.81897267548,-0.573690738633,-0.011976649137,0.0,-0.008757414594,0.00837330360731,-0.999926595044,0.0,0.661651307463,0.260925314035,0.303131331525,1.0,0.0,0.0,0.0
0.465072438801,0.54788282323,-0.123905659196,-1.35586290187,0.0794612282349,1.89409661162,0.159171622208,0.000338968112824,0.00176294358839,-0.00260218582624,-0.000604236213637,-0.00149776296111,-0.000168468915656,0.000655300813358,0.573750555657,0.819016308101,0.00182588306924,0.0,0.818971427475,-0.573692402289,-0.0119822968117,0.0,-0.00876637003282,0.00837035667271,-0.999926541245,0.0,0.661650191557,0.260926135618,0.303124992555,1.0,-0.00016,-0.000210285714286,0.009
0.465072242681,0.547879927718,-0.123910456658,-1.3558660084,0.079461941772,1.89409787312,0.159168473315,0.000760167727025,0.000854587671143,0.0018656316885,-0.000713137887793,3.96307102272e-05,8.35086042874e-05,0.000505422300552,0.573751851918,0.819015399447,0.00182614119453,0.0,0.818970538766,-0.57369371311,-0.0119802784367,0.0,-0.00876455555163,0.00836942391484,-0.999926564958,0.0,0.661650920928,0.260923100406,0.303125834913,1.0,-0.00046,-0.000604571428571,0.024
0.4650663052,0.547856064453,-0.123903960362,-1.35587802884,0.0794603993289,1.89409476089,0.159174775833,-0.000386873489161,-0.00244944260423,0.00167916720294,-0.004321720169,-0.000524324403926,-0.000344632217401,0.00190695460193,0.573757521663,0.819011406833,0.00183540562618,0.0,0.818966632204,-0.573699309093,-0.0119793565645,0.0,-0.00875842736005,0.00837654317237,-0.999926559041,0.0,0.661648322133,0.260921359226,0.303136530856,1.0,-0.0008,-0.00105142857143,0.041
0.465073635184,0.547790092319,-0.123908552221,-1.35593832642,0.0794593583074,1.89410999284,0.159169683661,0.000811128548097,-0.0110121825746,0.000610903515074,-0.00727465011334,0.000177365127033,0.00575905962259,0.00139331269774,0.57375356248,0.819014137365,0.00185451848884,0.0,0.818969602762,-0.573695259646,-0.0119702010373,0.0,-0.0087400036828,0.0083869012327,-0.99992663342,0.0,0.661638486955,0.260918132484,0.303156040998,1.0,-0.00114,-0.00149828571429,0.058
0.465071163755,0.547671685376,-0.123911128188,-1.35609837674,0.0794595427065,1.89413066474,0.159166826999,-0.00250269226225,-0.00615137772197,0.000701211470327,-0.0114042232702,0.000203346956893,0.00126023394741,-0.000377035104064,0.573763785021,0.819007004359,0.00184193126837,0.0,0.818962141609,-0.573705377846,-0.0119957051933,0.0,-0.00876800951263,0.00839133475117,-0.999926351043,0.0,0.661607723304,0.260898825041,0.303164257905,1.0,-0.00146,-0.00191885714286,0.074
0.465058738376,0.547526797364,-0.123905810669,-1.35630526708,0.0794550157978,1.89418722143,0.159159301585,0.000476172174846,-0.0111079451559,0.000701050369497,-0.0151847135588,-6.91393541462e-06,0.0150580828407,0.000265176101286,0.573774279959,0.818999644731,0.00184512562647,0.0,0.81895472997,-0.573715768019,-0.012004777682,0.0,-0.00877349990778,0.00839926874167,-0.999926236271,0.0,0.661580213404,0.260874302825,0.303174521584,1.0,-0.00178,-0.00233942857143,0.09
0.465030817104,0.547346447106,-0.123906230134,-1.35652120206,0.0794504241065,1.89432801806,0.159145854593,-0.00410216303379,-0.00875748379323,0.000391988784892,-0.0131934321094,-0.00184616186454,0.00719205095682,-0.000374678291876,0.573797659049,0.818983051593,0.00193767233114,0.0,0.818939355264,-0.573738760279,-0.0119546750023,0.0,-0.00867912559314,0.0084465632831,-0.999926661485,0.0,0.661571194362,0.260841166666,0.303211729037,1.0,-0.00214,-0.00281257142857,0.108
0.465013321785,0.547153536646,-0.123906151997,-1.35675158068,0.0794461897755,1.89444014658,0.159135930387,0.000428556088588,-0.0074346963955,-0.000306311622719,-0.0195057612399,-0.000212984464878,0.00794523063875,0.00155683737279,0.573815685869,0.818970255731,0.00200643447064,0.0,0.81892740753,-0.573756450717,-0.0119240663005,0.0,-0.00861441676124,0.00848550383425,-0.999926891352,0.0,0.661550608889,0.260811769984,0.303248446697,1.0,-0.00246,-0.00323314285714,0.124
0.464976132211,0.546919693551,-0.123908631646,-1.35709424151,0.0794379185627,1.89457746296,0.159100795154,-0.00562406061285,-0.0158021488053,-0.000262561623073,-0.02120517876,3.7201736616e-05,0.00884122331963,-0.00259356266106,0.573836131291,0.818955855626,0.00203663011524,0.0,0.818913315404,-0.573776684612,-0.0119182612382,0.0,-0.0085921243796,0.0085071162289,-0.999926899514,0.0,0.661516300007,0.260756120474,0.303262970779,1.0,-0.00282,-0.00370628571429,0.142
