txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
16080.0,16547.0,39017.0,16071.0,16615.0,38737.0,15894.0,16497.0,38554.0,15426.0,16646.0,39765.0,15945.0,16556.0,38640.0,15968.0,16427.0,38064.0,15798.0,16431.0,38149.0,15631.0,16503.0,38505.0,16189.0,16347.0,38358.0,15971.0,16330.0,38318.0,15693.0,16230.0,37776.0,15637.0,16279.0,38762.0,16113.0,16274.0,39244.0,15908.0,16422.0,38647.0,15759.0,16303.0,38334.0,15616.0,16535.0,39403.0
16080.0,16547.0,39017.0,16071.0,16614.0,38731.0,15892.0,16498.0,38550.0,15423.0,16649.0,39769.0,15943.0,16555.0,38632.0,15967.0,16426.0,38061.0,15797.0,16432.0,38146.0,15631.0,16503.0,38505.0,16189.0,16347.0,38358.0,15971.0,16330.0,38318.0,15689.0,16230.0,37778.0,15634.0,16277.0,38769.0,16108.0,16273.0,39232.0,15906.0,16420.0,38641.0,15755.0,16301.0,38335.0,15616.0,16535.0,39403.0
16079.0,16546.0,39009.0,16071.0,16614.0,38731.0,15892.0,16498.0,38550.0,15423.0,16649.0,39769.0,15943.0,16555.0,38627.0,15962.0,16427.0,38054.0,15794.0,16432.0,38146.0,15628.0,16502.0,38509.0,16188.0,16349.0,38350.0,15969.0,16332.0,38315.0,15689.0,16230.0,37778.0,15634.0,16277.0,38769.0,16109.0,16273.0,39223.0,15904.0,16418.0,38639.0,15752.0,16303.0,38334.0,15614.0,16534.0,39411.0
16077.0,16546.0,39004.0,16068.0,16614.0,38726.0,15892.0,16496.0,38549.0,15422.0,16648.0,39773.0,15942.0,16554.0,38618.0,15965.0,16426.0,38048.0,15793.0,16432.0,38147.0,15626.0,16502.0,38507.0,16186.0,16348.0,38342.0,15969.0,16331.0,38314.0,15690.0,16230.0,37774.0,15632.0,16277.0,38773.0,16107.0,16272.0,39224.0,15904.0,16420.0,38636.0,15750.0,16303.0,38335.0,15613.0,16535.0,39407.0
16080.0,16545.0,39019.0,16073.0,16615.0,38738.0,15897.0,16498.0,38558.0,15426.0,16648.0,39768.0,15943.0,16553.0,38634.0,15968.0,16425.0,38053.0,15797.0,16434.0,38141.0,15632.0,16501.0,38506.0,16190.0,16346.0,38366.0,15972.0,16330.0,38323.0,15695.0,16231.0,37777.0,15638.0,16279.0,38760.0,16111.0,16271.0,39241.0,15907.0,16419.0,38646.0,15753.0,16304.0,38332.0,15617.0,16535.0,39402.0
16080.0,16545.0,39019.0,16073.0,16615.0,38738.0,15897.0,16498.0,38558.0,15426.0,16648.0,39768.0,15943.0,16553.0,38634.0,15968.0,16425.0,38053.0,15797.0,16434.0,38141.0,15632.0,16501.0,38506.0,16190.0,16346.0,38366.0,15972.0,16330.0,38323.0,15695.0,16231.0,37777.0,15638.0,16279.0,38760.0,16111.0,16271.0,39241.0,15907.0,16419.0,38646.0,15753.0,16304.0,38332.0,15617.0,16535.0,39402.0
16082.0,16543.0,39038.0,16077.0,16613.0,38746.0,15899.0,16498.0,38558.0,15432.0,16649.0,39768.0,15947.0,16553.0,38652.0,15972.0,16426.0,38062.0,15802.0,16433.0,38147.0,15639.0,16503.0,38501.0,16194.0,16346.0,38370.0,15976.0,16332.0,38320.0,15697.0,16230.0,37781.0,15641.0,16280.0,38763.0,16112.0,16273.0,39243.0,15910.0,16419.0,38651.0,15758.0,16304.0,38336.0,15623.0,16536.0,39391.0
16082.0,16543.0,39038.0,16078.0,16612.0,38746.0,15901.0,16498.0,38561.0,15433.0,16649.0,39766.0,15949.0,16551.0,38657.0,15972.0,16425.0,38067.0,15804.0,16433.0,38149.0,15639.0,16503.0,38501.0,16194.0,16346.0,38370.0,15975.0,16329.0,38331.0,15696.0,16233.0,37778.0,15641.0,16278.0,38753.0,16112.0,16273.0,39246.0,15913.0,16419.0,38649.0,15759.0,16303.0,38333.0,15623.0,16536.0,39391.0
16080.0,16541.0,39018.0,16076.0,16612.0,38737.0,15898.0,16497.0,38561.0,15432.0,16650.0,39765.0,15948.0,16550.0,38654.0,15973.0,16425.0,38058.0,15797.0,16430.0,38146.0,15632.0,16504.0,38507.0,16186.0,16344.0,38360.0,15970.0,16331.0,38316.0,15692.0,16231.0,37774.0,15637.0,16282.0,38756.0,16110.0,16269.0,39241.0,15907.0,16418.0,38645.0,15753.0,16305.0,38325.0,15616.0,16538.0,39393.0
16080.0,16542.0,39004.0,16071.0,16613.0,38734.0,15895.0,16498.0,38560.0,15425.0,16651.0,39770.0,15944.0,16551.0,38637.0,15966.0,16425.0,38055.0,15797.0,16430.0,38146.0,15632.0,16504.0,38507.0,16187.0,16343.0,38346.0,15968.0,16329.0,38313.0,15691.0,16232.0,37770.0,15633.0,16281.0,38768.0,16107.0,16269.0,39225.0,15902.0,16417.0,38640.0,15753.0,16305.0,38325.0,15616.0,16538.0,39393.0
