txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
16159.0,16556.0,38681.0,16155.0,16618.0,38393.0,15936.0,16548.0,38163.0,15511.0,16697.0,39238.0,16079.0,16506.0,38079.0,16024.0,16359.0,37562.0,15900.0,16362.0,37547.0,15668.0,16463.0,37902.0,16267.0,16297.0,37824.0,16055.0,16299.0,37811.0,15864.0,16294.0,37277.0,15690.0,16253.0,37999.0,16226.0,16191.0,38473.0,16009.0,16302.0,38000.0,15898.0,16174.0,37729.0,15710.0,16370.0,38593.0
16159.0,16554.0,38682.0,16154.0,16619.0,38390.0,15937.0,16547.0,38161.0,15512.0,16699.0,39241.0,16079.0,16506.0,38081.0,16022.0,16359.0,37561.0,15899.0,16363.0,37546.0,15670.0,16461.0,37907.0,16267.0,16298.0,37825.0,16053.0,16298.0,37811.0,15862.0,16293.0,37281.0,15690.0,16254.0,38008.0,16225.0,16192.0,38478.0,16006.0,16302.0,37999.0,15898.0,16173.0,37726.0,15711.0,16370.0,38598.0
16160.0,16555.0,38686.0,16153.0,16618.0,38395.0,15935.0,16547.0,38163.0,15511.0,16699.0,39241.0,16078.0,16504.0,38082.0,16022.0,16359.0,37557.0,15899.0,16363.0,37546.0,15670.0,16461.0,37907.0,16267.0,16298.0,37825.0,16054.0,16301.0,37810.0,15864.0,16294.0,37281.0,15690.0,16254.0,37998.0,16226.0,16190.0,38470.0,16009.0,16303.0,37995.0,15898.0,16173.0,37726.0,15711.0,16370.0,38598.0
16158.0,16554.0,38687.0,16156.0,16620.0,38397.0,15937.0,16546.0,38164.0,15512.0,16697.0,39245.0,16079.0,16506.0,38088.0,16022.0,16359.0,37562.0,15899.0,16363.0,37540.0,15670.0,16464.0,37906.0,16267.0,16296.0,37832.0,16056.0,16298.0,37812.0,15864.0,16293.0,37281.0,15689.0,16254.0,37997.0,16225.0,16190.0,38477.0,16007.0,16303.0,37998.0,15898.0,16172.0,37730.0,15711.0,16370.0,38597.0
16158.0,16554.0,38687.0,16156.0,16620.0,38397.0,15937.0,16546.0,38164.0,15512.0,16697.0,39245.0,16079.0,16506.0,38088.0,16022.0,16359.0,37562.0,15899.0,16363.0,37540.0,15670.0,16464.0,37906.0,16267.0,16296.0,37832.0,16056.0,16298.0,37812.0,15864.0,16293.0,37281.0,15689.0,16254.0,37997.0,16225.0,16190.0,38477.0,16007.0,16303.0,37998.0,15898.0,16172.0,37730.0,15711.0,16370.0,38597.0
16161.0,16553.0,38692.0,16157.0,16618.0,38396.0,15940.0,16548.0,38169.0,15513.0,16700.0,39246.0,16082.0,16506.0,38096.0,16027.0,16358.0,37564.0,15902.0,16361.0,37549.0,15672.0,16462.0,37904.0,16267.0,16298.0,37831.0,16056.0,16297.0,37808.0,15866.0,16294.0,37276.0,15692.0,16255.0,37995.0,16227.0,16191.0,38482.0,16009.0,16302.0,38000.0,15898.0,16174.0,37727.0,15712.0,16369.0,38588.0
16163.0,16553.0,38695.0,16159.0,16617.0,38399.0,15941.0,16547.0,38165.0,15516.0,16701.0,39243.0,16082.0,16506.0,38096.0,16027.0,16358.0,37564.0,15904.0,16363.0,37545.0,15672.0,16466.0,37901.0,16270.0,16297.0,37834.0,16057.0,16295.0,37811.0,15866.0,16293.0,37278.0,15692.0,16252.0,37995.0,16227.0,16191.0,38482.0,16009.0,16302.0,38000.0,15900.0,16173.0,37719.0,15712.0,16369.0,38591.0
16162.0,16553.0,38698.0,16161.0,16616.0,38400.0,15943.0,16550.0,38171.0,15518.0,16699.0,39245.0,16082.0,16504.0,38099.0,16027.0,16359.0,37566.0,15904.0,16363.0,37545.0,15672.0,16466.0,37901.0,16270.0,16297.0,37834.0,16058.0,16297.0,37812.0,15867.0,16293.0,37280.0,15694.0,16256.0,38001.0,16228.0,16190.0,38482.0,16009.0,16303.0,38000.0,15900.0,16173.0,37719.0,15712.0,16369.0,38591.0
16163.0,16552.0,38704.0,16162.0,16616.0,38401.0,15943.0,16549.0,38166.0,15518.0,16701.0,39241.0,16082.0,16502.0,38100.0,16027.0,16358.0,37562.0,15903.0,16362.0,37544.0,15673.0,16465.0,37901.0,16267.0,16294.0,37829.0,16058.0,16299.0,37813.0,15867.0,16295.0,37279.0,15691.0,16256.0,37994.0,16228.0,16190.0,38487.0,16006.0,16302.0,38000.0,15896.0,16173.0,37720.0,15711.0,16372.0,38582.0
16161.0,16552.0,38685.0,16157.0,16616.0,38396.0,15939.0,16549.0,38170.0,15515.0,16703.0,39247.0,16081.0,16502.0,38089.0,16027.0,16358.0,37562.0,15903.0,16362.0,37544.0,15668.0,16463.0,37905.0,16265.0,16295.0,37823.0,16052.0,16298.0,37811.0,15862.0,16294.0,37279.0,15688.0,16258.0,37999.0,16224.0,16188.0,38479.0,16006.0,16302.0,38000.0,15896.0,16173.0,37720.0,15711.0,16372.0,38582.0
